legal_status,address,caretaker,date,dbh,plot_size,latitude,longitude,species_english,species_latin,year,Native,Family
DPW Maintained,374 27th Ave,Private,06/08/1973,8,3x3,37.78239274,-122.4869683,Mayten,Maytenus boaria,1973,Exotic,Maytenus
DPW Maintained,205 09th Ave,Private,15/08/1973,14,3x3,37.78447266,-122.467835,Olive Tree,Olea europaea,1973,Exotic,Olea
DPW Maintained,1438 Cabrillo St,Private,16/08/1973,31,6x8,37.77498031,-122.4742632,New Zealand Xmas Tree,Metrosideros excelsa,1973,Exotic,Metrosideros
DPW Maintained,232 18th Ave,Private,20/08/1973,12,5x5,37.78363034,-122.4773782,Glossy Privet,Ligustrum lucidum,1973,Exotic,Ligustrum
Permitted Site,3917 24th St,Private,09/07/1974,18,3x3,37.75149238,-122.4300324,Weeping Bottlebrush,Callistemon viminalis,1974,Exotic,Callistemon
DPW Maintained,118 Naples St,Private,26/07/1974,10,3x3,37.72675721,-122.4268422,Chinese Elm,Ulmus parvifolia,1974,Exotic,Ulmus
DPW Maintained,1650 Noriega St,Private,02/08/1974,9,3x3,37.75413222,-122.4816179,New Zealand Xmas Tree,Metrosideros excelsa,1974,Exotic,Metrosideros
DPW Maintained,980 Ashbury St,Private,02/08/1974,10,Width 3ft,37.76452672,-122.4457636,Olive Tree,Olea europaea,1974,Exotic,Olea
DPW Maintained,1790 24th Ave,Private,02/08/1974,2,3X3,37.7541647,-122.4817438,Glossy Privet,Ligustrum lucidum,1974,Exotic,Ligustrum
DPW Maintained,110 Steiner St,Private,09/08/1974,38,Width 3ft,37.77029679,-122.4316832,Lombardy Poplar,Populus nigra 'Italica',1974,Exotic,Populus
DPW Maintained,1883 34th Ave,Private,12/08/1974,5,3x3,37.75201843,-122.4925173,Hybrid Strawberry Tree,Arbutus 'Marina',1974,Exotic,Arbutus
DPW Maintained,757 Athens St,Private,14/08/1974,8,3x3,37.71610628,-122.4325277,Ornamental Pear: Bradford,Pyrus calleryana 'Bradford',1974,Exotic,Pyrus
DPW Maintained,1923 Pierce St,Private,15/08/1974,16,3x3,37.78798225,-122.4371219,Banyan Fig,Ficus retusa nitida,1974,Exotic,Ficus
DPW Maintained,3701 Sacramento St,Private,15/08/1974,16,6x8,37.78726812,-122.4537918,New Zealand Xmas Tree,Metrosideros excelsa,1974,Exotic,Metrosideros
DPW Maintained,1915 Pierce St,Private,15/08/1974,14,3x3,37.78786484,-122.4370975,Banyan Fig,Ficus retusa nitida,1974,Exotic,Ficus
DPW Maintained,1911 Pierce St,Private,15/08/1974,18,3x3,37.78773677,-122.4370754,Banyan Fig,Ficus retusa nitida,1974,Exotic,Ficus
Permitted Site,136 Delmar St,Private,26/08/1974,16,3x3,37.766558,-122.4452977,New Zealand Xmas Tree,Metrosideros excelsa,1974,Exotic,Metrosideros
Permitted Site,1015 Diamond St,Private,27/08/1974,10,Width 4ft,37.74929469,-122.4360245,Mayten,Maytenus boaria,1974,Exotic,Maytenus
DPW Maintained,143 02nd Ave,Private,27/08/1974,6,3x3,37.78601667,-122.4604302,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1974,Exotic,Ficus
Permitted Site,1210 Sanchez St,Private,27/08/1974,24,3x3,37.7497769,-122.4295723,Burgundy Sweet Gum,Liquidambar styraciflua 'Burgundy',1974,Exotic,Liquidambar
Permitted Site,469 Hill St,Private,27/08/1974,14,4x4,37.75539381,-122.4315429,Silver Dollar Eucalyptus,Eucalyptus polyanthemos,1974,Exotic,Eucalyptus
DPW Maintained,1442 Broadway,Private,27/08/1974,22,Width 4ft,37.79615137,-122.4208587,Red Flowering Gum,Corymbia ficifolia,1974,Exotic,Corymbia
Permitted Site,4180 26TH ST,Private,27/08/1974,32,3x3,37.74822343,-122.4333225,Olive Tree,Olea europaea,1974,Exotic,Olea
Permitted Site,2106 Scott St,Private,02/10/1974,24,4x4,37.78929608,-122.4388869,Sycamore: London Plane,Platanus x hispanica,1974,Exotic,Platanus
Permitted Site,73 Henry St,Private,16/10/1974,3,3x3,37.76662831,-122.4327056,Little Gem Magnolia,Magnolia grandiflora 'Little Gem',1974,Exotic,Magnolia
Permitted Site,154 Sanchez St,Private,16/10/1974,8,3x3,37.76666969,-122.4311741,Brisbane Box,Lophostemon confertus,1974,Exotic,Lophostemon
Permitted Site,233 Central Ave,Private,21/10/1974,20,Width 0ft,37.77178915,-122.4439997,Camphor Tree,Cinnamomum camphora,1974,Exotic,Cinnamomum
DPW Maintained,918 Minnesota St,Private,22/10/1974,15,6x7,37.75898996,-122.3904249,Chinese Elm,Ulmus parvifolia,1974,Exotic,Ulmus
DPW Maintained,920 Minnesota St,Private,22/10/1974,27,7x13,37.75891631,-122.3904278,Sweet Bay: Grecian Laurel,Laurus nobilis,1974,Exotic,Laurus
DPW Maintained,924 Minnesota St,Private,22/10/1974,12,7x10,37.75881635,-122.3904173,Chinese Flame Tree,Koelreuteria bipinnata,1974,Exotic,Koelreuteria
DPW Maintained,930 Minnesota St,Private,22/10/1974,12,6.5x9,37.7587675,-122.3904116,Mimosa Silk Tree,Albizia julibrissin,1974,Exotic,Albizia
DPW Maintained,966 Minnesota St,Private,22/10/1974,24,9x7.5,37.75831222,-122.3903613,Chinese Elm,Ulmus parvifolia,1974,Exotic,Ulmus
Permitted Site,280 Chattanooga St,Private,23/10/1974,24,6x6,37.75208799,-122.426452,Laurel Fig,Ficus nitida,1974,Exotic,Ficus
Permitted Site,100 Broderick St,Private,23/10/1974,20,Width 0ft,37.77132459,-122.4386072,Red Flowering Gum,Corymbia ficifolia,1974,Exotic,Corymbia
Permitted Site,58 Cumberland St,Private,23/10/1974,22,3x3,37.75915744,-122.4249097,Victorian Box,Pittosporum undulatum,1974,Exotic,Pittosporum
Permitted Site,3224 23rd St,Private,23/10/1974,22,4x4,37.75404483,-122.4173773,Red Flowering Gum,Corymbia ficifolia,1974,Exotic,Corymbia
Permitted Site,3721 23rd St,Private,23/10/1974,4,3x3,37.75332557,-122.4258637,Chinese Elm 'Athena',Ulmus parvifolia 'Athena',1974,Exotic,Ulmus
Permitted Site,65 States St,Private,26/10/1974,8,Width 3ft,37.76332494,-122.4367564,Cherry Plum,Prunus cerasifera,1974,Exotic,Prunus
Permitted Site,65 Homestead St,Private,10/01/1975,12,3x3,37.74993979,-122.4393565,American Sweet Gum,Liquidambar styraciflua,1975,Exotic,Liquidambar
Permitted Site,89 Walter St,Private,10/01/1975,24,5x5,37.76775058,-122.4322303,Olive Tree,Olea europaea,1975,Exotic,Olea
DPW Maintained,3030 16th St,Private,27/08/1976,21,Width 4ft,37.76508132,-122.4203326,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1976,Exotic,Ficus
Permitted Site,3178 16th St,Private,27/08/1976,14,3x3,37.76488604,-122.4235899,Laurel Fig,Ficus nitida,1976,Exotic,Ficus
DPW Maintained,3120 16th St,Private,27/08/1976,23,Width 6ft,37.7649553,-122.4224799,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1976,Exotic,Ficus
Permitted Site,3120 16th St,Private,27/08/1976,20,5x5,37.76495791,-122.4224007,Laurel Fig,Ficus nitida,1976,Exotic,Ficus
Permitted Site,3200 16th St,Private,27/08/1976,22,8x8,37.76485378,-122.4241237,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1976,Exotic,Ficus
DPW Maintained,3122 16th St,Private,27/08/1976,20,Width 4ft,37.7649553,-122.4225813,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1976,Exotic,Ficus
Permitted Site,4031 22nd St,Private,01/09/1976,20,3x3,37.75426742,-122.4369262,Red Flowering Gum,Corymbia ficifolia,1976,Exotic,Corymbia
DPW Maintained,3870 25th St,Private,10/09/1976,23,12x7,37.75020074,-122.4265883,Indian Laurel Fig Tree 'Green Gem',Ficus microcarpa nitida 'Green Gem',1976,Exotic,Ficus
Permitted Site,3870 25th St,Private,10/09/1976,20,6x10,37.7502087,-122.426604,Laurel Fig,Ficus nitida,1976,Exotic,Ficus
Permitted Site,4324 18TH ST,Private,16/09/1976,20,9x6,37.7608572,-122.4377009,Magnolia,Magnolia spp,1976,Exotic,Magnolia
Permitted Site,4316 18th St,Private,16/09/1976,20,6x6,37.76081722,-122.4373947,Magnolia,Magnolia spp,1976,Exotic,Magnolia
Permitted Site,1439 05th Ave,Private,16/09/1976,20,3x3,37.76162363,-122.4619389,Purple Leaf Plum Krauter Vesuvius,Prunus cerasifera 'Krauter vesuvius',1976,Exotic,Prunus
Permitted Site,4328 18th St,Private,16/09/1976,24,6x6,37.76080965,-122.4375184,Magnolia,Magnolia spp,1976,Exotic,Magnolia
DPW Maintained,1534 Baker St,Private,30/09/1976,20,3x3,37.785359,-122.4432216,Cherry Plum,Prunus cerasifera,1976,Exotic,Prunus
DPW Maintained,590 South Van Ness Ave,Private,21/10/1976,0,Width 3ft,37.76376426,-122.4174748,Bronze Loquat,Eriobotrya deflexa,1976,Exotic,Eriobotrya
Permitted Site,88 LUNDYS LN,Private,26/10/1976,8,3x3,37.74403574,-122.4188521,Carob,Ceratonia siliqua,1976,Exotic,Ceratonia
DPW Maintained,601 Hayes St,Private,26/10/1976,18,3x3,37.77637989,-122.4263851,Red Flowering Gum,Corymbia ficifolia,1976,Exotic,Corymbia
Permitted Site,230 Scott St,Private,26/10/1976,34,3x3,37.77177907,-122.4353558,Sycamore: London Plane,Platanus x hispanica,1976,Exotic,Platanus
