tree_id,latitude,longitude,caretaker,species_latin,species_english,year,Native
98820,37.74786624,-122.4623444,Private,Cupressus macrocarpa,Monterey Cypress,2010,Exotic
94828,37.764011227741904,-122.4621924,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94449,37.75003574,-122.4621492,Private,Maytenus boaria,Mayten,2010,Exotic
94448,37.75003574,-122.4621492,Private,Maytenus boaria,Mayten,2010,Exotic
88794,37.76542125,-122.4618282,Private,Eriobotrya deflexa,Bronze Loquat,2010,Exotic
93572,37.7745306,-122.4617453,Private,Agonis flexuosa 'After Dark',Peppermint willow 'After Dark',2010,Exotic
33347,37.72844506,-122.4610708,Private,Tristaniopsis laurina 'Elegant',Small-leaf Tristania 'Elegant',2010,Exotic
94707,37.74294487,-122.4609702,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94706,37.74294487,-122.4609702,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
88613,37.76060089,-122.4607072,Private,Melaleuca quinquenervia,Cajeput,2010,Exotic
88611,37.76060089,-122.4607072,Private,Melaleuca quinquenervia,Cajeput,2010,Exotic
88609,37.76060089,-122.4607072,Private,Melaleuca quinquenervia,Cajeput,2010,Exotic
88610,37.76060089,-122.4607072,Private,Melaleuca quinquenervia,Cajeput,2010,Exotic
93073,37.76060089,-122.4607072,Private,Melaleuca quinquenervia,Cajeput,2010,Exotic
88612,37.76060089,-122.4607072,Private,Melaleuca quinquenervia,Cajeput,2010,Exotic
93071,37.76060089,-122.4607072,Private,Melaleuca quinquenervia,Cajeput,2010,Exotic
94956,37.72464659,-122.4604884,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
94955,37.72464659,-122.4604884,Private,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,2010,Exotic
53535,37.78275388,-122.4601864,Private,Metrosideros excelsa,New Zealand Xmas Tree,2010,Exotic
54234,37.76488758,-122.4598372,Private,Prunus cerasifera,Cherry Plum,2010,Exotic
94636,37.75537954,-122.459647,Private,Pinus radiata,Monterey Pine,2010,CA Native
94637,37.75537954,-122.459647,Private,Pinus radiata,Monterey Pine,2010,CA Native
94327,37.72243156,-122.459045,Private,Magnolia grandiflora 'Saint Mary',Saint Mary Magnolia,2010,Exotic
94731,37.78844224,-122.4586686,Private,Agonis flexuosa,Peppermint Willow,2010,Exotic
94732,37.78845385,-122.4586022,Private,Agonis flexuosa,Peppermint Willow,2010,Exotic
1623,37.77586382,-122.458595,Department of Public Works,Pittosporum undulatum,Victorian Box,2010,Exotic
92211,37.72431603,-122.4581163,Private,Corymbia ficifolia,Red Flowering Gum,2010,Exotic
94729,37.78684391,-122.4580488,Private,Pittosporum undulatum,Victorian Box,2010,Exotic
94728,37.78685265,-122.4579769,Private,Pittosporum undulatum,Victorian Box,2010,Exotic
93633,37.78284589,-122.4579403,Other Municipal Authorities,Pittosporum undulatum,Victorian Box,2010,Exotic
93632,37.78276752,-122.4579346,Other Municipal Authorities,Pittosporum undulatum,Victorian Box,2010,Exotic
94726,37.78498383,-122.4579024,Private,Magnolia grandiflora,Southern Magnolia,2010,Exotic
93105,37.78227492,-122.4578997,Other Municipal Authorities,Pittosporum undulatum,Victorian Box,2010,Exotic
94727,37.78686264,-122.4578939,Private,Pittosporum undulatum,Victorian Box,2010,Exotic
93872,37.78765936,-122.4577973,Private,Olea europaea,Olive Tree,2010,Exotic
65881,37.7831713,-122.4577759,Private,Washingtonia robusta,Mexican Fan Palm,2010,Exotic
95229,37.76450274,-122.4576777,Private,Acacia melanoxylon,Blackwood Acacia,2010,Exotic
95231,37.76450274,-122.4576777,Private,Acacia melanoxylon,Blackwood Acacia,2010,Exotic
95230,37.76450274,-122.4576777,Private,Pinus radiata,Monterey Pine,2010,CA Native
94080,37.7349094,-122.4571582,Private,Syagrus romanzoffianum,Queen Palm,2010,Exotic
94079,37.73507145,-122.4563323,Private,Syagrus romanzoffianum,Queen Palm,2010,Exotic
92971,37.71488493,-122.4562782,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94074,37.73504623,-122.4561968,Private,Crataegus laevigata,English Hawthorn,2010,Exotic
94814,37.78786432,-122.4561464,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94815,37.7878681,-122.4560954,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94816,37.78787566,-122.4560508,Private,Arbutus 'Marina',Hybrid Strawberry Tree,2010,Exotic
94072,37.73507341,-122.4559827,Private,Syagrus romanzoffianum,Queen Palm,2010,Exotic
94073,37.73507341,-122.4559827,Private,Syagrus romanzoffianum,Queen Palm,2010,Exotic
94071,37.73494906,-122.4559279,Private,Crataegus laevigata,English Hawthorn,2010,Exotic
94070,37.73494906,-122.4559279,Private,Crataegus laevigata,English Hawthorn,2010,Exotic
94076,37.73483202,-122.4558625,Private,Crataegus laevigata,English Hawthorn,2010,Exotic
94075,37.73483202,-122.4558625,Private,Crataegus laevigata,English Hawthorn,2010,Exotic
94078,37.73483202,-122.4558625,Private,Crataegus laevigata,English Hawthorn,2010,Exotic
94077,37.73483202,-122.4558625,Private,Crataegus laevigata,English Hawthorn,2010,Exotic
93574,37.71124805,-122.4558585,Private,Olea europaea 'Fruitless',Fruitless Olive,2010,Exotic
93575,37.71124805,-122.4558585,Private,Olea europaea 'Fruitless',Fruitless Olive,2010,Exotic
93577,37.71124805,-122.4558585,Private,Olea europaea 'Fruitless',Fruitless Olive,2010,Exotic
46074,37.78308874,-122.4555512,Private,Prunus serrulata,Ornamental Cherry,2010,Exotic
93176,37.78796269,-122.4554101,Private,Prunus serrulata,Ornamental Cherry,2010,Exotic
